,customer_city,price,cumulative_sum,cumcut
3641,monte formoso,72.99,13792352.23000033,0.9986693049631267
3642,mato rico,72.9,13792425.13000033,0.9986745834675557
3643,itarema,72.9,13792498.03000033,0.9986798619719846
3644,cacaulandia,72.9,13792570.930000331,0.9986851404764135
3645,avelino lopes,72.89,13792643.820000332,0.9986904182567679
3646,arraial d ajuda,72.62,13792716.440000331,0.9986956764871058
3647,serra azul,72.5,13792788.940000331,0.9987009260285474
3648,salobro,72.2,13792861.14000033,0.9987061538477486
3649,matoes,72.0,13792933.14000033,0.9987113671854562
3650,piripa,71.99000000000001,13793005.13000033,0.9987165797990891
3651,termas de ibira,71.9,13793077.03000033,0.99872178589605
3652,taquarucu do sul,70.0,13793147.03000033,0.9987268544188213
3653,itanhanga,69.99,13793217.020000331,0.9987319222175179
3654,ravena,69.99,13793287.010000331,0.9987369900162145
3655,juripiranga,69.99,13793357.000000332,0.9987420578149112
3656,cipo-guacu,69.99,13793426.990000332,0.9987471256136078
3657,anaurilandia,69.99,13793496.980000332,0.9987521934123044
3658,macuco,69.9,13793566.880000332,0.998757254694329
3659,itutinga,69.9,13793636.780000333,0.9987623159763535
3660,boquira,69.9,13793706.680000333,0.9987673772583779
3661,morro do pilar,69.9,13793776.580000333,0.9987724385404024
3662,glaura,69.9,13793846.480000334,0.9987774998224269
3663,sao francisco do gloria,69.9,13793916.380000334,0.9987825611044514
3664,vila reis,69.9,13793986.280000335,0.9987876223864759
3665,laranja da terra,69.9,13794056.180000335,0.9987926836685004
3666,piratini,69.9,13794126.080000335,0.998797744950525
3667,formosa do oeste,69.9,13794195.980000336,0.9988028062325495
3668,nova padua,69.9,13794265.880000336,0.998807867514574
3669,moeda,69.9,13794335.780000336,0.9988129287965984
3670,ministro andreazza,69.9,13794405.680000337,0.9988179900786229
3671,onda verde,69.81,13794475.490000337,0.9988230448439753
3672,igarape-acu,69.0,13794544.490000337,0.9988280409592785
3673,cascalho rico,69.0,13794613.490000337,0.9988330370745816
3674,lagoa de sao francisco,68.99,13794682.480000338,0.99883803246581
3675,ilha dos valadares,67.99,13794750.470000338,0.9988429554495704
3676,valao do barro,67.1,13794817.570000337,0.9988478139906839
3677,conselheiro mairinck,67.0,13794884.570000337,0.9988526652910508
3678,buritizal,66.99,13794951.560000338,0.9988575158673428
